,PROCEDIMENTO,"RN (alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO,Unnamed: 0,RN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,DOAÇÃO AUTÓLOGA COM RECUPERAÇÃO INTRA-OPERATÓRIA,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,DOAÇÃO AUTÓLOGA PRÉ-OPERATÓRIA,DOENÇA DE CHAGAS - TESTE IMUNOENZIMÁTICO DE ALTA SENSIBILIDADE E IMUNOFLUORESCÊNCIA,FENOTIPAGEM DE OUTROS SISTEMAS ERITROCITÁRIOS,"HEPATITE B - ANTI-HBC, POR MÉTODO IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA","HEPATITE C - ANTI-HCV, TESTE IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",Unnamed: 12,GONADOTROFINA CORIÔNICA HUMANA LIVRE (β-HCG) COM ELABORAÇÃO DE LAUDO CONTENDO CÁLCULO,GENÉTICA BIOQUÍMICA,GENÉTICA,ANÁLISE MOLECULAR DE DNA (COM DIRETRIZ DE UTILIZAÇÃO),110,GENÉTICA MOLECULAR,BRAF (COM DIRETRIZ DE UTILIZAÇÃO),9,EGFR (COM DIRETRIZ DE UTILIZAÇÃO),21,HER-2 - DOSAGEM DO RECEPTOR (COM DIRETRIZ DE UTILIZAÇÃO),30
1448,ESFINCTEROTOMIA,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,ESTENOSE ANAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,EXCISÃO DE PLICOMA,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,FISSURECTOMIA COM OU SEM ESFINCTEROTOMIA,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,FÍSTULA RETO-VAGINAL E FÍSTULA ANAL EM FERRADURA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,FISTULECTOMIA ANAL,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,FISTULECTOMIA ANORRETAL COM ABAIXAMENTO MUCOSO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,FISTULECTOMIA PERINEAL,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,HEMORRÓIDAS - LIGADURA ELÁSTICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,HEMORRÓIDAS - TRATAMENTO ESCLEROSANTE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,"HEMORROIDECTOMIA ABERTA OU FECHADA, COM OU SEM ESFINCTEROTOMIA",,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,LACERAÇÃO ANORRETAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,LESÃO ANAL - ELETROCAUTERIZAÇÃO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,PAPILECTOMIA,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,PÓLIPO RETAL - RESSECÇÃO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,PROLAPSO RETAL - ESCLEROSE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,PROLAPSO RETAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,PRURIDO ANAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,RECONSTITUIÇÃO DE ESFINCTER ANAL POR PLÁSTICA MUSCULAR,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,RECONSTRUÇÃO TOTAL ANOPERINEAL,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,TRATAMENTO CIRÚRGICO DE RETOCELE,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,TROMBOSE HEMORROIDÁRIA - EXÉRESE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,ABSCESSO HEPÁTICO - DRENAGEM CIRÚRGICA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,ABSCESSO HEPÁTICO - DRENAGEM CIRÚRGICA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,ANASTOMOSE BILIODIGESTIVA INTRA-HEPÁTICA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,ATRESIA DE VIAS BILIARES - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,BIÓPSIA HEPÁTICA POR LAPAROTOMIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,BIÓPSIA HEPÁTICA POR VIDEOLAPAROSCOPIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,BIÓPSIA HEPÁTICA TRANSPARIETAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,COLECISTECTOMIA COM FÍSTULA BILIODIGESTIVA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,COLECISTECTOMIA COM FÍSTULA BILIODIGESTIVA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,COLECISTECTOMIA COM OU SEM COLANGIOGRAFIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,COLECISTECTOMIA COM OU SEM COLANGIOGRAFIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,COLECISTOJEJUNOSTOMIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,COLECISTOJEJUNOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,COLECISTOSTOMIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,COLECISTOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,COLÉDOCO OU HEPÁTICO-JEJUNOSTOMIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,COLÉDOCO OU HEPÁTICO-JEJUNOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,COLÉDOCO OU HEPATICOPLASTIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,COLÉDOCO-DUODENOSTOMIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,COLÉDOCO-DUODENOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,COLEDOCOTOMIA OU COLEDOCOSTOMIA COM OU SEM COLECISTECTOMIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,COLEDOCOTOMIA OU COLEDOCOSTOMIA COM OU SEM COLECISTECTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,COLEDOSCOPIA INTRA-OPERATÓRIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,DERIVAÇÃO PORTO SISTÊMICA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,DESCONEXÃO ÁZIGOS - PORTAL COM OU SEM ESPLENECTOMIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,DESCONEXÃO ÁZIGOS - PORTAL COM OU SEM ESPLENECTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,DESVASCULARIZAÇÃO HEPÁTICA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,DRENAGEM BILIAR TRANS-HEPÁTICA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,ENUCLEAÇÃO DE METÁSTASES HEPÁTICAS,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,ENUCLEAÇÃO DE METÁSTASES HEPÁTICAS POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,ESCLEROSE PERCUTÂNEA DIRIGIDA OU NÃO DE TUMOR HEPÁTICO (ALCOOLIZAÇÃO),,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,HEPATORRAFIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,HEPATORRAFIA COMPLEXA C/LESÃO DE ESTRUTURAS VASCULARES BILIARES,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,LOBECTOMIA HEPÁTICA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,PAPILOTOMIA TRANSDUODENAL,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,PUNÇÃO HEPÁTICA PARA DRENAGEM DE ABSCESSOS,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,PUNÇÃO HEPÁTICA PARA DRENAGEM DE ABSCESSOS POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,CISTO DE COLÉDOCO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,"ABLAÇÃO POR RADIOFREQUÊNCIA/CRIOABLAÇÃO PERCUTÂNEA DO CÂNCER PRIMÁRIO HEPÁTICO GUIADAPOR ULTRASSONOGRAFIA E/OU TOMOGRAFIA COMPUTADORIZADA (COM DIRETRIZ DE UTILIZAÇÃO)",,,,,HCO,HSO,REF,,1.0,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,"ABLAÇÃO POR RADIOFREQUÊNCIA/CRIOABLAÇÃO DO CÂNCER PRIMÁRIO HEPÁTICO POR LAPAROTOMIA(COM DIRETRIZ DE UTILIZAÇÃO)",,,,,HCO,HSO,REF,,1.0,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,"ABLAÇÃO POR RADIOFREQUÊNCIA/CRIOABLAÇÃO DO CÂNCER PRIMÁRIO HEPÁTICO PORVIDEOLAPAROSCOPIA (COM DIRETRIZ DE UTILIZAÇÃO)",,,,,HCO,HSO,REF,,1.0,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,RESSECÇÃO DE CISTO HEPÁTICO COM OU SEM HEPATECTOMIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,RESSECÇÃO DE CISTO HEPÁTICO COM OU SEM HEPATECTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,RESSECÇÃO DE TUMOR DE VESÍCULA OU DA VIA BILIAR COM OU SEM HEPATECTOMIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,SEGMENTECTOMIA HEPÁTICA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,SEQUESTRECTOMIA HEPÁTICA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,TRATAMENTO CIRÚRGICO DE ESTENOSE CICATRICIAL DAS VIAS BILIARES,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,TRISSEGMENTECTOMIAS,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,BIÓPSIA DE PÂNCREAS,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,BIÓPSIA DE PÂNCREAS POR PUNÇÃO DIRIGIDA,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,ENUCLEAÇÃO DE TUMORES PANCREÁTICOS,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,ENUCLEAÇÃO DE TUMORES PANCREÁTICOS POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,PANCREATECTOMIA PARCIAL OU TOTAL / SEQUESTRECTOMIA,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,PANCREATECTOMIA CORPO CAUDAL COM PRESERVAÇÃO DO BAÇO,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,PANCREATO-DUODENECTOMIA COM LINFADENECTOMIA,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,PANCREATO-ENTEROSTOMIA,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,PANCREATORRAFIA,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,PSEUDOCISTO PÂNCREAS - DRENAGEM,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,PSEUDOCISTO PÂNCREAS - DRENAGEM POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,PÂNCREAS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,BIÓPSIA ESPLÊNICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,BAÇO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,ESPLENECTOMIA TOTAL OU PARCIAL,,,,,HCO,HSO,REF,,,BAÇO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,ESPLENECTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,BAÇO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
